,Tickers,Momentum,ID
145,DISCA,0.9963251341583621,-0.3150684931506849
146,DISCK,0.8821427893708134,-0.28767123287671237
470,VIAC,0.6255894574543841,-0.273972602739726
235,HPQ,0.6966452698241545,-0.2602739726027397
454,UAA,0.9732859083446763,-0.19178082191780826
387,PWR,0.6658014133298868,-0.19178082191780826
234,HWM,0.9216509230645595,-0.19178082191780826
391,RJF,0.6967262497829583,-0.17808219178082196
316,MHK,0.9705912980337599,-0.17808219178082196
381,PTC,0.6640472904397567,-0.1643835616438356
167,ENPH,0.9634339611626017,-0.1643835616438356
327,NTAP,0.6880782485746932,-0.1643835616438356
331,NWSA,0.820810923682318,-0.1643835616438356
431,TPR,1.6365961390621306,-0.1506849315068493
227,HPE,0.7105436057316679,-0.13698630136986306
414,SPG,0.8200214861954751,-0.13698630136986306
455,UA,0.8760161380300111,-0.13698630136986306
184,FFIV,0.6992750738905358,-0.13698630136986306
334,NLSN,0.7843405512888386,-0.13698630136986306
424,SIVB,1.0516167138216646,-0.12328767123287676
486,WDC,0.8262654279980834,-0.12328767123287676
347,NXPI,0.6218758853593085,-0.12328767123287676
460,URI,0.887163309791368,-0.12328767123287676
45,AMAT,1.258211912756043,-0.12328767123287676
137,DE,0.6971289447214215,-0.12328767123287676
254,IVZ,1.2491039790805,-0.12328767123287676
271,KIM,0.6977449871973558,-0.12328767123287676
30,AIG,0.7034217191431107,-0.12328767123287676
273,KLAC,0.716661153186738,-0.1095890410958904
203,FCX,1.1054986200859025,-0.1095890410958904
250,IPG,0.789993502783402,-0.1095890410958904
278,LRCX,0.8032070987664328,-0.1095890410958904
418,LUV,0.6282667032877602,-0.0958904109589041
332,NWS,0.684927681499002,-0.0958904109589041
322,MS,0.7420789434228299,-0.0958904109589041
493,WYNN,0.7458572205671743,-0.0958904109589041
408,SLB,0.766246773898206,-0.0958904109589041
110,CFG,0.7895476926560618,-0.0958904109589041
109,C,0.7230215857010782,-0.0958904109589041
341,NCLH,0.6125072570655503,-0.0958904109589041
498,ZBRA,0.921809315428221,-0.0958904109589041
310,MGM,0.7469574073429215,-0.08219178082191786
27,AAL,0.9446704387887359,-0.08219178082191786
175,ETSY,0.658061355939709,-0.08219178082191786
60,BAC,0.6240977599677653,-0.08219178082191786
308,MET,0.6711502527633197,-0.08219178082191786
209,GE,1.1110385215691831,-0.08219178082191786
140,DVN,1.3546809881065638,-0.08219178082191786
15,ALB,0.6451814068572241,-0.08219178082191786
14,ALK,0.8894348093458517,-0.08219178082191786
