,Tickers,Momentum,ID
361,PENN,4.747035505182787,-0.11409395973154357
437,TSLA,3.09360684420733,-0.12751677852348992
81,CZR,2.893055754053745,-0.12751677852348992
175,ETSY,2.1641519666680407,-0.046979865771812124
61,BBWI,1.7517302022597172,0.02013422818791949
167,ENPH,1.5577576338245147,-0.11409395973154357
204,GPS,1.5114509671231202,0.06040268456375841
315,MRNA,1.3622703905753166,-0.06040268456375841
203,FCX,1.3170369867947076,-0.10067114093959728
43,APA,1.2764334524327814,-0.02013422818791949
133,DHI,1.2383166365187956,-0.06040268456375841
490,WHR,1.182876686122726,-0.19463087248322153
283,LEN,1.1485609018544496,-0.03355704697986578
188,FDX,1.090134708908006,-0.1543624161073826
384,PHM,1.0863071698044484,-0.08724832214765099
207,GNRC,1.0783514349600045,-0.12751677852348992
360,PYPL,1.057969533900085,-0.1409395973154362
219,HBI,1.0576576360249166,0.06040268456375841
345,NVDA,1.0547380334476708,-0.1677852348993289
470,VIAC,1.0365284774009238,0.0067114093959732
199,FBHS,1.0136074129697894,-0.10067114093959728
404,RCL,1.012123314928238,0.0067114093959732
64,BBY,0.9758478184622597,-0.12751677852348992
291,LOW,0.9461206661761836,-0.1543624161073826
107,CTAS,0.9214292796196915,-0.11409395973154357
3,ABMD,0.9086524563853657,-0.12751677852348992
102,CMG,0.9005347104794115,-0.08724832214765099
229,HOLX,0.8937323108350232,-0.10067114093959728
17,ALGN,0.8819200407860117,-0.046979865771812124
46,APTV,0.8619008363126943,-0.0738255033557047
135,DRI,0.8497977912855796,-0.03355704697986578
310,MGM,0.8436131173510053,0.0738255033557047
44,AAPL,0.8299244071133951,-0.1409395973154362
459,UPS,0.8138548140457473,-0.08724832214765099
448,TWTR,0.8118892902138954,-0.08724832214765099
485,WST,0.8083632851726599,-0.06040268456375841
7,AMD,0.8027704197232264,0.0067114093959732
98,CRL,0.7942318246645312,-0.0738255033557047
87,CARR,0.7769500859534753,-0.20588235294117646
218,HAL,0.7706481747482332,-0.02013422818791949
388,QCOM,0.7623945902842104,-0.06040268456375841
406,CRM,0.7455203138066819,-0.1543624161073826
161,EBAY,0.7446362503489319,-0.1543624161073826
432,TGT,0.7106219201050694,-0.06040268456375841
159,EMN,0.7080099270638871,-0.03355704697986578
373,POOL,0.7078604202498266,-0.1409395973154362
85,KMX,0.7074122336196209,-0.02013422818791949
442,TSCO,0.7052696858969141,-0.0738255033557047
323,MOS,0.6997906344920886,-0.06040268456375841
460,URI,0.6958211604701874,-0.11409395973154357
412,NOW,0.6923721917953951,-0.046979865771812124
489,WY,0.6825959603034542,-0.08724832214765099
319,MPWR,0.6764597274146531,-0.08724832214765099
387,PWR,0.6723592943636472,-0.1677852348993289
365,PKI,0.6697981524549146,-0.19463087248322153
153,DOW,0.6631101152770351,-0.046979865771812124
426,SNPS,0.6614644528487519,-0.1543624161073826
425,SYF,0.6605272314545287,0.0067114093959732
144,DFS,0.6522511628588838,0.046979865771812124
8,AAP,0.6503170709987174,-0.0738255033557047
88,CTLT,0.6488932127835167,-0.06040268456375841
157,DD,0.6458011155053216,-0.046979865771812124
415,SWKS,0.6399495264700059,-0.12751677852348992
419,SWK,0.6378974815578502,-0.1409395973154362
180,EXPE,0.6294651092144361,-0.03355704697986578
240,IDXX,0.6228119899157452,-0.1677852348993289
137,DE,0.617917686527441,-0.06040268456375841
24,AMZN,0.6149652400253294,-0.1677852348993289
80,CDNS,0.6146274345121499,-0.20805369127516782
72,BWA,0.6047077644657572,-0.0067114093959732
301,MAS,0.6045145006466013,-0.08724832214765099
126,GLW,0.6036808067992012,-0.11409395973154357
464,VTR,0.6020386190683154,-0.03355704697986578
386,QRVO,0.6000247910385128,-0.03355704697986578
15,ALB,0.5974144200744231,-0.1677852348993289
424,SIVB,0.5926660855237542,-0.03355704697986578
346,NVR,0.589313009742874,0.0067114093959732
385,PVH,0.5844846003384989,0.0067114093959732
410,SEE,0.5843383891011049,-0.046979865771812124
131,CMI,0.5830211903033402,-0.0738255033557047
281,LEG,0.5760580195303169,-0.046979865771812124
357,PH,0.5753103747673081,-0.06040268456375841
331,NWSA,0.5715118585589836,-0.12751677852348992
185,FB,0.5701438195730559,-0.12751677852348992
433,TEL,0.5694874832629309,-0.11409395973154357
76,AVGO,0.5665504000307555,-0.1409395973154362
332,NWS,0.5653595762832619,-0.1543624161073826
341,NCLH,0.5611314371167087,0.046979865771812124
78,CHRW,0.5610949153681404,-0.11409395973154357
134,DHR,0.5587526919395684,-0.1543624161073826
440,TMO,0.5586546056465085,-0.11409395973154357
362,PNR,0.5543164054206444,-0.12751677852348992
255,IPGP,0.5412586425654908,-0.06040268456375841
6,ADBE,0.5410696572564406,-0.1543624161073826
359,PAYC,0.5410128026236569,-0.046979865771812124
263,JCI,0.5364030817727063,-0.06040268456375841
125,CPRT,0.5347345127570231,-0.1543624161073826
348,ORLY,0.5315728459333109,-0.02013422818791949
141,DXCM,0.5309170267964676,-0.08724832214765099
446,TRMB,0.530003169326718,-0.12751677852348992
